,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tungor,53.38,142.96,34.14,91,89,3.29,RU,1603821583
1,hilo,19.73,-155.09,73.4,88,40,3.36,US,1603821558
2,lebu,-37.62,-73.65,54.25,64,19,12.53,CL,1603821586
3,nanortalik,60.14,-45.24,31.01,89,100,3.96,GL,1603821587
4,port alfred,-33.59,26.89,69.66,88,68,2.68,ZA,1603821588
5,chokurdakh,70.63,147.92,9.27,96,100,1.05,RU,1603821589
6,nantucket,41.28,-70.1,57.2,71,90,12.75,US,1603821590
7,lodja,-3.48,23.43,70.45,90,98,1.39,CD,1603821593
8,albany,42.6,-73.97,52.0,57,49,6.29,US,1603821566
9,biskamzha,53.45,89.53,34.81,85,76,3.36,RU,1603821595
10,la rioja,42.25,-2.5,59.0,62,75,6.93,ES,1603821596
11,ocampo,21.65,-101.5,72.82,28,29,5.75,MX,1603821597
12,chuy,-33.7,-53.46,63.46,88,100,16.26,UY,1603821598
13,matara,5.95,80.54,77.61,88,94,6.46,LK,1603821600
14,taltal,-25.4,-70.48,64.8,58,30,8.61,CL,1603821601
15,klaksvik,62.23,-6.59,42.8,75,57,9.17,FO,1603821602
16,padang,-0.95,100.35,77.49,75,86,4.23,ID,1603821605
17,manzhouli,49.6,117.43,23.0,84,0,9.84,CN,1603821606
18,hofn,64.25,-15.21,36.45,83,100,19.82,IS,1603821608
19,avarua,-21.21,-159.78,69.8,88,100,3.36,CK,1603821609
20,te anau,-45.42,167.72,39.85,90,31,1.52,NZ,1603821611
21,aktash,50.3,87.73,24.4,82,77,9.6,RU,1603821612
22,saint-joseph,-21.37,55.62,75.2,73,75,5.82,RE,1603821614
23,kruisfontein,-34.0,24.73,64.99,90,76,6.67,ZA,1603821615
24,kapaa,22.08,-159.32,71.6,83,90,5.82,US,1603821617
25,leh,34.17,77.58,32.25,64,0,0.51,IN,1603821620
26,caucaia,-3.74,-38.65,86.0,62,20,11.41,BR,1603821621
27,hobart,-42.88,147.33,48.2,93,40,3.31,AU,1603821604
28,lekoni,-1.58,14.26,73.62,84,99,0.69,GA,1603821623
29,luba,3.46,8.55,80.13,81,66,7.05,GQ,1603821625
30,coihaique,-45.58,-72.07,46.4,65,75,4.7,CL,1603821626
31,lompoc,34.64,-120.46,60.8,47,1,6.93,US,1603821627
32,bethel,41.37,-73.41,55.99,50,1,6.26,US,1603821628
33,busselton,-33.65,115.33,60.01,74,57,10.85,AU,1603821630
34,juneau,58.3,-134.42,46.0,87,90,11.41,US,1603821468
35,coahuayana,18.73,-103.68,80.6,78,75,4.38,MX,1603821632
36,yellowknife,62.46,-114.35,17.6,72,90,13.87,CA,1603821633
37,saldanha,-33.01,17.94,64.4,72,100,9.17,ZA,1603821634
38,kinsale,51.71,-8.53,48.0,75,40,13.87,IE,1603821636
39,thompson,55.74,-97.86,26.6,73,90,5.82,CA,1603821408
40,saint-georges,12.06,-61.75,87.8,70,40,17.22,GD,1603821638
41,atuona,-9.8,-139.03,78.67,74,48,22.1,PF,1603821639
42,cotonou,6.37,2.42,84.2,79,40,13.87,BJ,1603821640
