,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,abha,18.22,42.51,59.0,35,0,2.39,SA,1604009482
1,lac du bonnet,50.25,-96.06,28.0,98,75,5.99,CA,1604009483
2,san rafael,-34.62,-68.33,66.97,25,1,13.96,AR,1604009484
3,fairbanks,64.84,-147.72,19.0,78,90,0.36,US,1604009373
4,nikolskoye,59.7,30.79,50.0,93,90,4.47,RU,1604009487
5,mackay,-21.15,149.2,77.0,88,0,8.05,AU,1604009490
6,busselton,-33.65,115.33,59.0,46,1,12.24,AU,1604009401
7,torbay,47.67,-52.73,39.0,85,97,3.0,CA,1604009492
8,dinar,38.06,30.17,53.6,87,75,3.36,TR,1604009493
9,san patricio,28.02,-97.52,73.4,35,20,17.22,US,1604009494
10,kodiak,57.79,-152.41,41.0,52,1,4.7,US,1604009495
11,harnosand,62.63,17.94,46.0,100,0,4.7,SE,1604009497
12,narsaq,60.92,-46.05,33.8,69,75,1.59,GL,1604009498
13,qaanaaq,77.48,-69.36,5.38,71,19,5.37,GL,1604009367
14,tuktoyaktuk,69.45,-133.04,6.1,93,30,5.64,CA,1604009500
15,avarua,-21.21,-159.78,77.0,73,100,6.93,CK,1604009385
16,mar del plata,-38.0,-57.56,53.6,50,0,11.41,AR,1604009405
17,bluff,-46.6,168.33,63.0,79,100,1.99,NZ,1604009503
18,leningradskiy,69.38,178.42,16.9,88,100,11.23,RU,1604009504
19,vaini,-21.2,-175.2,75.2,69,40,12.75,TO,1604009505
20,benavente,42.0,-5.68,48.0,100,14,2.24,ES,1604009507
21,arraial do cabo,-22.97,-42.03,77.0,94,90,5.82,BR,1604009508
22,port elizabeth,-33.92,25.57,57.2,82,75,19.46,ZA,1604009509
23,hilo,19.73,-155.09,82.4,69,75,8.05,US,1604009510
24,gizo,-8.1,156.84,83.39,73,91,8.95,SB,1604009511
25,razole,16.48,81.83,73.6,70,100,2.86,IN,1604009512
26,mataura,-46.19,168.86,63.0,79,100,1.99,NZ,1604009346
27,lamar,33.67,-95.58,54.0,71,90,18.34,US,1604009515
28,albany,42.6,-73.97,45.0,90,100,7.18,US,1604009516
29,cairns,-16.92,145.77,80.01,69,0,11.41,AU,1604009279
30,castro,-24.79,-50.01,60.82,93,100,4.97,BR,1604009481
